Family,Species,Hunting Method/Web Usage,Record,Body Length Total,Ceph Length,Ceph Width,Abdom Length,Abdom Width,Leg I Fe,Leg I Pa,Leg I Ti,Leg I Mt,Leg I Ta,Leg II Fe,Leg II Pa,Leg II Ti,Leg II Mt,Leg II Ta,Leg III Fe,Leg III Pa,Leg III Ti,Leg III Mt,Leg III Ta,Leg IV Fe,Leg IV Pa,Leg IV Ti,Leg IV Mt,Leg IV Ta
Lamponidae,Lamponella ainslie,Ground hunter,K10497,3.55,1.697,1.16,1.853,1.16,0.972,0.566,0.664,0.874,0.404,0.732,0.375,0.502,0.341,0.381,0.612,0.247,0.428,0.309,0.206,0.796,0.364,0.634,0.35,0.266
Lamponidae,Lamponella beaury,Ground hunter,KS39607,4.75,2.25,1.45,2.5,1.75,1.05,0.625,0.975,0.625,0.325,0.925,0.525,0.675,0.425,NA,0.55,0.35,0.5,0.55,0.375,1.125,0.375,1,NA,NA
Lamponidae,Lamponicta cobon,Ground hunter,KS104181,7.1,2.65,1.6,4.45,2.3,1.225,0.7,1.375,1,0.55,1.3,0.875,1.15,0.65,0.4,1.05,0.6,0.775,0.5,0.4,1.425,0.65,1.2,0.925,0.425
Lamponidae,Lamponina elongata,Ground hunter,K4661,5.604,2.508,1.289,3.096,1.405,1.306,0.412,0.843,0.581,0.474,0.922,0.336,0.739,0.425,0.463,1.08,0.281,0.927,0.455,0.283,1.554,0.524,1.063,1.028,0.746
Lamponidae,Longepi bondi,Ground hunter,KS116723,4.284,1.777,1.487,2.507,1.921,1.182,0.502,1.159,0.798,0.546,0.893,0.356,0.411,0.76,0.513,0.681,0.328,0.397,0.656,0.386,1.193,0.561,1.275,1.173,0.512
Lamponidae,Longepi boyd,Ground hunter,KS104751,4.65,2.025,1.375,2.625,2,0.775,0.6,0.8,0.75,0.3,1.2,0.475,0.775,0.675,0.45,0.8,0.475,0.75,0.575,0.475,1.375,0.8,1.1,1.325,0.625
Lamponidae,Longepi cobon,Ground hunter,KS73205,4.769,1.679,1.337,3.09,2.139,1.835,0.669,1.062,0.676,0.3,1.356,0.664,0.852,0.555,0.635,NA,NA,NA,NA,NA,1.106,0.525,1.272,0.939,0.474
Lamponidae,Notodispus innot,Ground hunter,QMS25154,3.216666666,1.283333333,1,1.933333333,1.233333333,0.833333333,0.433333333,0.75,0.566666667,0.5,0.933333333,0.333333333,0.866666667,0.566666667,0.5,0.866666667,0.4,0.616666667,NA,NA,1.1,0.466666667,0.9,0.95,0.566666667
Lamponidae,Notsodipus dalby,Ground hunter,KS13620,3.286,1.415,0.907,1.871,1.257,1.056,0.539,0.872,0.619,0.391,1.291,0.403,0.848,0.55,0.431,0.919,0.343,0.584,NA,NA,1.15,0.486,1.099,0.941,0.495
Lamponidae,Notsodipus domain,Ground hunter,KS63868,2.45,1.158,0.74,1.292,0.868,0.478,0.248,0.454,0.37,0.25,NA,NA,NA,NA,NA,1.147,0.404,0.628,0.634,0.374,0.828,0.33,0.64,0.627,0.442
Lamponidae,Paralampona domain,Ground hunter,KS57621,1.923076923,0.769230769,0.461538462,1.153846154,0.630769231,0.384615385,0.153846154,0.323076923,0.230769231,0.261538462,0.338461538,0.138461538,0.230769231,0.169230769,0.184615385,NA,0.153846154,0.230769231,0.169230769,0.169230769,0.230769231,0.138461538,0.369230769,0.276923077,0.169230769
Lamponidae,Paralampona kiola,Ground hunter,KS120452,1.835,0.815,0.509,1.02,0.623,0.457,0.207,0.325,0.261,0.279,0.347,0.184,0.298,0.276,0.168,0.381,0.182,0.222,NA,NA,0.573,0.127,0.367,0.287,0.216
Lamponidae,Paralampona sherlock,Ground hunter,KS57620,1.415384615,0.692307692,0.461538462,0.723076923,0.476923077,0.338461538,0.107692308,0.184615385,0.169230769,0.215384615,0.246153846,0.092307692,0.153846154,0.138461538,0.169230769,0.246153846,0.092307692,0.307692308,NA,NA,0.338461538,0.169230769,0.307692308,0.153846154,NA
Lamponidae,Prionosternum nitidiceps,Ground hunter,KS116562,3.792,1.459,0.985,2.333,1.52,1.05,0.493,0.74,0.264,0.275,0.676,0.272,0.471,0.508,0.556,NA,NA,NA,NA,NA,0.967,0.403,1.171,1.015,0.431
Lamponidae,Pseudolampona binnowee,Ground hunter,KS51713,2.758,1.173,0.765,1.585,1.159,0.52,0.237,0.433,0.322,0.346,0.497,0.198,0.271,0.3,0.291,0.517,0.164,0.339,0.377,0.282,0.462,0.299,0.723,0.494,0.371
Lamponidae,Pseudolampona warrandyte,Ground hunter,KS70205,2.775,1.395,0.916,1.38,1.14,0.6,0.364,0.439,0.491,0.45,0.475,0.281,0.38,0.353,0.381,0.598,0.269,0.511,0.34,0.288,0.871,0.384,0.581,0.584,0.373
Lamponidae,Queenvic piccadilly,Ground hunter,KS89712,2.513,1.121,0.787,1.392,0.93,0.633,0.301,0.484,0.487,0.263,0.518,0.277,0.401,0.383,0.247,0.467,0.288,0.341,0.252,0.182,0.662,0.34,0.609,0.735,0.357
Linyphiidae,Erigone prominens,Sheet web,KS62268,1.507692308,0.753846154,0.492307692,0.753846154,0.661538462,0.369230769,0.153846154,0.446153846,0.353846154,0.292307692,0.4,0.138461538,0.292307692,0.292307692,0.307692308,0.307692308,0.107692308,0.230769231,0.292307692,0.230769231,0.461538462,0.107692308,0.261538462,0.384615385,0.307692308
Linyphiidae,Ostearius melanopygius,Sheet web,KS7311,1.885,0.877,0.728,1.008,0.675,1.127,0.357,0.761,0.569,0.414,0.905,0.312,0.402,0.599,0.395,0.817,0.177,0.285,0.272,0.287,1.061,0.264,0.775,0.851,0.456
Lycosidae,Allotrochosina walesiana,Sheet web,KS51829,6.377,3.019,2.182,3.358,2.111,2.472,0.95,1.809,1.664,1.119,2.143,1.087,1.647,1.784,0.924,1.758,0.746,1.589,1.409,0.819,2.178,0.868,2.406,2.238,1.275
Lycosidae,Anomalosa kochi,Ground hunter,KS124460,5.391,2.414,1.579,2.977,2.027,1.418,0.622,1.277,1.099,0.703,1.25,0.698,1.185,1.293,0.83,1.393,0.719,0.787,1.489,0.779,2.048,0.521,2.041,1.933,1.176
Lycosidae,Anomalosa oz,Ground hunter,WAMT70050,6.1,2.82,1.91,3.28,1.98,2.21,NA,NA,1.68,1.22,2.13,NA,NA,1.56,1.07,2.13,NA,NA,1.75,1.07,2.9,NA,NA,2.74,1.3
Lycosidae,Artoria albopedipalpis,Ground hunter,K7589,6.151,3.059,1.888,3.092,1.671,2.171,0.961,1.815,1.705,1.148,2.036,1.066,1.178,1.515,1.121,1.961,0.591,1.211,1.912,0.764,2.841,1.029,1.885,3.049,1.351
Lycosidae,Artoria albopilata,Ground hunter,KS45438,5.07,2.328,1.726,2.742,2.48,1.649,0.902,1.311,0.835,0.72,1.432,0.813,1.039,1.438,0.741,1.736,0.655,1.139,1.168,0.712,2.512,0.559,1.589,1.779,0.829
Lycosidae,Artoria berenice,Ground hunter,QMS47147,4.4,2.45,1.55,1.95,1.575,1.45,0.6,1.075,1.2,1,1.35,0.65,1.05,1.1,0.55,1.35,0.55,0.85,1.4,0.75,1.75,0.65,1.4,1.7,1.05
Lycosidae,Artoria flavimanus,Ground hunter,KS69091,6.441,2.259,1.44,4.182,2.403,1.962,0.731,1.586,1.21,0.679,1.532,0.583,1.377,1.285,0.809,NA,NA,NA,NA,NA,2.192,0.562,1.506,1.68,0.746
Lycosidae,Artoria gloriosa,Ground hunter,KS89047,4.612,2.535,2.005,2.077,1.801,1.377,0.673,1.082,1.075,0.699,1.729,0.533,1.13,0.859,0.639,1.532,0.762,0.926,1.163,0.717,1.94,0.709,1.525,1.629,1.039
Lycosidae,Artoria howquaensis,Ground hunter,K8117,4.476,2.165,1.703,2.311,1.492,1.512,0.655,1.227,0.733,0.568,1.264,0.885,1.14,1.348,0.513,1.346,0.655,1.073,0.954,0.747,2.277,0.85,2.124,1.598,0.558
Lycosidae,Artoria lineata,Ground hunter,KS82812,5.101,2.326,1.68,2.775,1.826,1.458,0.539,0.998,1.013,0.622,1.267,0.648,0.694,0.937,0.484,0.931,0.712,0.817,0.992,0.675,1.491,0.608,1.286,1.891,0.967
Lycosidae,Artoria mckayi,Ground hunter,KS71562,5.243,2.44,1.269,2.803,1.709,1.204,0.473,1.03,0.963,0.747,1.177,0.579,0.89,0.932,0.72,1.245,0.397,0.976,1.161,0.719,1.626,0.502,1.495,1.973,0.874
Lycosidae,Artoria quadrata,Ground hunter,KS123028,5.498,2.391,1.727,3.107,2.003,1.694,0.449,1.108,0.583,0.34,1.663,0.587,0.707,0.832,0.607,1.365,0.525,0.939,0.873,0.487,2.042,0.64,1.279,1.628,0.77
Lycosidae,Artoria ulrichi,Ground hunter,KS88761,4.149,2.087,1.429,2.062,1.429,0.963,0.48,0.941,0.975,0.456,1.301,0.584,0.675,0.865,0.408,1.364,0.453,0.765,0.905,0.362,2.074,0.665,1.133,1.489,0.611
Lycosidae,Artoria versicolor,Ground hunter,KS39783,5.525,2.5,1,3.025,1.3,1.675,0.725,1.4,1.4,0.925,1.575,0.5,1.25,1.25,0.975,1.75,0.5,1.075,1.5,0.775,2.125,0.775,1.225,2.45,1.2
Lycosidae,Artoriopsis expolita,Ground hunter,KS76711,5.209,2.827,1.781,2.382,1.766,1.38,0.723,1.057,0.984,0.681,1.382,0.519,1.065,0.946,0.883,1.461,0.487,1.139,0.93,0.939,2.491,0.982,1.418,1.968,1.011
Lycosidae,Artoriopsis melissi,Ground hunter,KS22781,5.553,2.412,1.549,3.141,1.892,1.684,0.828,1.428,0.962,0.983,1.504,0.701,0.898,0.787,NA,1.748,0.68,0.854,1.106,0.697,1.511,0.638,1.114,1.428,0.922
